"contactor","contactee","contact.rate"
"16","4",14.4078947368421
"17","4",4.53416149068323
"18","4",14.484126984127
"19","4",28.2945736434109
"20","4",9.52173913043478
"25","4",11.9541484716157
"30","4",39.8665048543689
"35","4",54.038961038961
"40","4",70.6177156177156
"45","4",62.0748299319728
"50","4",46.6125541125541
"55","4",30.4166666666667
"60","4",29.5945945945946
"65","4",27.5629290617849
"65+","4",10.1201478743068
"1","5",62.1276595744681
"2","5",54.75
"3","5",205.633802816901
"4","5",243.333333333333
"5","5",466.523178807947
"6","5",287.649006622517
"7","5",150.760869565217
"8","5",83.8148148148148
"9","5",49.8920863309353
"10","5",45.625
"11","5",30.6488549618321
"12","5",31.9375
"13","5",21.0071942446043
"14","5",15.985401459854
"15","5",27.5
"16","5",7.20394736842105
"17","5",20.4037267080745
"18","5",20.2777777777778
"19","5",16.9767441860465
"20","5",12.695652173913
"25","5",17.5327510917031
"30","5",52.2694174757282
"35","5",59.7272727272727
"40","5",57.8554778554779
"45","5",42.2108843537415
"50","5",43.4523809523809
"55","5",22.4122807017544
"60","5",29.5945945945946
"65","5",22.5514874141876
"65+","5",15.5175600739372
"1","6",50.4787234042553
"2","6",57.7916666666667
"3","6",74.5422535211268
"4","6",119.233333333333
"5","6",394.006622516556
"6","6",838.774834437086
"7","6",362.355072463768
"8","6",135.185185185185
"9","6",63.021582733813
"10","6",57.03125
"11","6",78.0152671755725
"12","6",41.0625
"13","6",39.3884892086331
"14","6",21.3138686131387
"15","6",17.5
"16","6",16.8092105263158
"17","6",13.6024844720497
"18","6",34.7619047619048
"19","6",25.4651162790698
"20","6",15.8695652173913
"25","6",9.56331877729258
"30","6",39.8665048543689
"35","6",57.8311688311688
"40","6",79.97668997669
"45","6",38.9002267573696
"50","6",34.7619047619048
"55","6",33.6184210526316
"60","6",36.9932432432432
"65","6",23.3867276887872
"65+","6",16.1922365988909
"1","7",42.7127659574468
"2","7",85.1666666666667
"3","7",61.6901408450704
"4","7",109.5
"5","7",123.278145695364
"6","7",367.417218543046
"7","7",1068.55072463768
"8","7",219
"9","7",123.41726618705
"10","7",87.4479166666667
"11","7",72.4427480916031
"12","7",54.75
"13","7",47.2661870503597
"14","7",18.6496350364963
"15","7",40
"16","7",16.8092105263158
"17","7",13.6024844720497
"18","7",17.3809523809524
"19","7",31.1240310077519
"20","7",15.8695652173913
"25","7",19.1266375545852
"30","7",35.4368932038835
"35","7",54.987012987013
"40","7",66.3636363636364
"45","7",40.5555555555556
"50","7",11.0606060606061
"55","7",31.2171052631579
"60","7",23.018018018018
"65","7",17.5400457665904
"65+","7",14.8428835489834
"1","8",42.7127659574468
"2","8",30.4166666666667
"3","8",33.4154929577465
"4","8",80.3
"5","8",82.1854304635762
"6","8",147.450331125828
"7","8",505.18115942029
"8","8",1349.14814814815
"9","8",320.359712230216
"10","8",155.885416666667
"11","8",114.236641221374
"12","8",73
"13","8",44.6402877697842
